ID,Shrt_Desc,Water_(g),Energ_Kcal,Protein_(g),Lipid_Tot_(g),Ash_(g),Carbohydrt_(g),Fiber_TD_(g),Sugar_Tot_(g),Calcium_(mg),Iron_(mg),Magnesium_(mg),Phosphorus_(mg),Potassium_(mg),Sodium_(mg),Zinc_(mg),Copper_mg),Manganese_(mg),Selenium_(µg),Vit_C_(mg),Thiamin_(mg),Riboflavin_(mg),Niacin_(mg),Panto_Acid_mg),Vit_B6_(mg),Folate_Tot_(µg),Folic_Acid_(µg),Food_Folate_(µg),Folate_DFE_(µg),Choline_Tot_ (mg),Vit_B12_(µg),Vit_A_IU,Vit_A_RAE,Retinol_(µg),Alpha_Carot_(µg),Beta_Carot_(µg),Beta_Crypt_(µg),Lycopene_(µg),Lut+Zea_ (µg),Vit_E_(mg),Vit_D_µg,Vit_D_IU,Vit_K_(µg),FA_Sat_(g),FA_Mono_(g),FA_Poly_(g),Cholestrl_(mg),GmWt_1,GmWt_Desc1,GmWt_2,GmWt_Desc2
03001,"BABYFOOD,JUC TREATS,FRUIT MEDLEY,TODD",12.89,347,0,0.02,0.29,86.68,0,57.4,12,0.24,7,9,54,89,0.03,0.037,0.062,1.9,8,0.015,0.01,0.057,0.052,0.014,1,0,1,1,9.1,0,2,0,0,0,1,0,0,2,0.01,0,0,0,0,0,0,0,28,1 packet,,
03002,"BABYFOOD,MEAT,BF,STR",82.44,81,12.03,2.52,0.57,2.43,0,0,5,0.98,11,93,187,41,2.22,0.148,0.037,2.9,2.1,0.013,0.135,2.495,0.083,0.039,8,0,8,8,37.6,1.26,0,0,0,0,0,0,0,0,0.37,0.4,15,0.6,1.18,0.95,0.16,51,14.7,1 tbsp,28.35,1 oz
03003,"BABYFOOD,MEAT,BF,JR",82.44,81,12.03,2.52,0.57,2.43,0,0,5,0.98,11,93,187,41,2.22,0.148,0.037,2.9,2.1,0.013,0.135,2.495,0.083,0.039,8,0,8,8,37.6,1.26,0,0,0,0,0,0,0,0,0.37,0.4,15,0.6,1.18,0.95,0.16,51,28.35,1 oz,14.7,1 tbsp
03005,"BABYFOOD,MEAT,VEAL,STR",82.37,81,13.12,2.45,0.54,1.51,0,0,6,0.76,11,98,170,39,2.5,0.148,0.037,3.5,0,0.023,0.116,2.85,0.155,0.049,5,0,5,5,49.5,1.65,0,0,0,0,0,0,0,0,0.28,0.7,26,0,1.063,1.054,0.157,33,16,1 tbsp,28.35,1 oz
03007,"BABYFOOD,MEAT,PORK,STR",78.4,124,14,7.1,1.1,0,0,0,5,1,10,94,223,42,2.27,0.072,,12.9,1.8,0.146,0.203,2.269,0.272,0.205,2,0,2,2,,0.99,38,11,11,0,0,0,0,0,0.4,,,,2.4,3.58,0.78,48,28.35,1 oz,71,1 jar
03008,"BABYFOOD,MEAT,HAM,STR",80.5,97,11.3,3.8,0.7,3.7,0,0,6,1.03,13,81,204,44,2.25,0.065,,14.2,2.1,0.139,0.154,2.633,0.51,0.252,2,0,2,2,45.2,0.1,5,2,2,0,0,0,0,0,0.13,0.4,18,0,1.267,1.803,0.51,24,15,1 tbsp,28.35,1 oz
03009,"BABYFOOD,MEAT,HAM,JUNIOR",80.5,97,11.3,3.8,0.7,3.7,0,0,5,1.01,11,89,210,44,1.7,0.068,,15,2.1,0.142,0.194,2.84,0.531,0.2,2,0,2,2,45.2,0.1,0,0,0,0,0,0,0,0,0.4,0.4,18,0,1.271,1.804,0.516,29,28.35,1 oz,71,1 jar
03010,"BABYFOOD,MEAT,LAMB,STR",81.06,87,14.07,3.41,0.6,0.85,0,0,7,1.19,13,104,193,43,2.43,0.148,0.037,2.2,1.2,0.02,0.174,2.908,0.112,0.037,0,0,0,0,54.7,1.9,0,0,0,0,0,0,0,0,0.19,0.1,4,0.6,1.65,1.27,0.31,36,22,1 tbsp,28.35,1 oz
03011,"BABYFOOD,MEAT,LAMB,JUNIOR",79.6,112,15.2,5.2,0.9,0,0,0,7,1.66,10,91,211,42,2.6,0.057,,7,1.7,0.019,0.191,3.193,0.424,0.183,2,0,2,2,54.7,2.27,27,8,8,,0,,,,0.4,0.1,4,,2.56,2.06,0.22,38,28.35,1 oz,71,1 jar
03012,"BABYFOOD,MEAT,CHICK,STR",77.5,130,13.7,7.9,0.49,0.1,0,0,64,1.4,13,97,141,49,1.21,0.045,,11,1.7,0.014,0.152,3.255,0.68,0.2,3,0,3,3,43.2,0.4,21,6,6,0,0,0,0,0,0.25,0.3,11,1,2.03,3.56,1.92,61,15,1 tbsp,28.35,1 oz
03013,"BABYFOOD,MEAT,CHICK,JR",76,146,14,9.6,0.49,0,0,0,55,0.99,11,90,122,49,1.01,0.045,,10.3,1.5,0.014,0.163,3.42,0.726,0.188,11,0,11,11,43.2,0.4,40,11,11,0,0,0,0,0,0.4,0,2,1.7,2.47,4.33,2.33,59,15,1 tbsp,28.35,1 oz
03014,"BABYFOOD,MEAT,CHICK STKS,JR",68.3,188,14.6,14.4,1.2,1.5,0.2,1.4,73,1.56,14,121,106,267,1.01,0.045,,10.3,1.7,0.017,0.197,2.005,0.726,0.103,11,0,11,11,43.2,0.4,11,3,3,0,0,0,0,0,0.37,0.1,4,0.4,4.094,6.267,2.986,78,10,1 stick,71,1 jar
03015,"BABYFOOD,MEAT,TURKEY,STR",80.32,111,11.5,6.2,0.58,1.4,0,0,41,0.7,12,117,135,49,1.77,0.148,0.037,12,2.2,0.008,0.163,2.61,0.41,0.029,8,0,8,8,39.8,1.11,0,0,0,0,0,0,0,0,0.08,0.8,34,0,1.641,2.384,1.741,58,15,1 tbsp,28.35,1 oz
03016,"BABYFOOD,MEAT,TURKEY,JR",80.32,111,11.5,6.2,0.58,1.4,0,0,41,0.7,12,117,135,49,1.77,0.148,0.037,12,0,0.008,0.163,2.61,0.41,0.029,8,0,8,8,39.8,1.11,0,0,0,0,0,0,0,0,0.08,0.8,34,0,1.641,2.384,1.741,58,19,1 tbsp,68,1 container
03017,"Babyfood, meat, turkey sticks, junior",69.8,188,13.7,14.2,0.9,1.4,0.2,1.4,83,0.92,10,120,120,295,2.4,0.148,0.037,13.5,1.5,0.008,0.181,1.94,0.381,0.023,11,0,11,11,53.3,1.3,19,6,6,0,0,0,0,0,0.12,0.4,15,0,4.143,4.671,3.615,65,10,1 stick,71,1 jar
03019,"BABYFOOD,SNACK,GERBER GRADUATE FRUIT STRIPS,REAL FRUIT BARS",19.09,330,0.82,2.24,1.24,76.61,2,68.65,18,1.05,9,23,312,14,0.14,0.242,0.7,1.4,179.9,0.041,0.046,0.334,0.142,0.201,1,0,1,1,14.5,0,233,12,0,0,102,76,0,81,0.96,0,0,2.5,0.364,0.092,0.664,0,9.9,1 bar,,
03021,"BABYFOOD,MEAT,MEAT STKS,JR",69.5,184,13.4,14.6,1.4,1.1,0.2,0.8,34,1.38,11,103,114,267,1.9,0.068,,13.3,2.4,0.059,0.172,1.481,0.481,0.08,11,0,11,11,56.8,0.29,69,21,21,0,0,0,0,0,0.28,0.2,9,0.5,5.82,6.48,1.59,70,10,1 stick,71,1 jar
03022,"BABYFOOD,GERBER,2ND FOODS,APPL,CARROT & SQUASH,ORGANIC",83.83,64,1.1,0,0.26,14.82,1.2,9.09,6,0.15,5,17,106,20,0.22,0.033,0.039,0.8,2732,0.02,0.036,0.255,0.086,0.057,2,0,2,2,3.5,0,417,21,0,78,206,11,0,17,0.07,0,0,1,0,0,0,2,,,,
03023,"BABYFOOD,FINGER SNACKS,GERBER,GRADUATES,PUFFS,APPL & CINN",3.62,389,6.19,2.3,2.11,85.79,3.8,17.84,535,24.74,60,448,196,13,17.46,0.213,1.646,6.2,1.3,1.563,2.267,28.767,0.635,1.8,16,6,10,20,11.5,0,13,1,0,0,6,4,0,45,10.33,0,0,1.3,0.143,0.306,0.527,0,,,,
03024,"BABYFOOD,H2O,BTLD,GERBER,WO/ ADDED FLUORIDE.",99.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,1 serving,,
03025,"BABYFOOD,GERBER,3RD FOODS,APPL,MANGO & KIWI",86.34,53,0.47,0,0.32,12.88,2,10.18,9,0.17,6,11,123,2,0.06,0.061,0.089,0.3,23.3,0.018,0.018,0.25,0.093,0.059,14,0,14,14,4.5,0,294,15,0,2,170,10,1,30,0.41,0,0,5.9,0,0,0,0,,,,
03026,"BABYFOOD,TROPICAL FRUIT MEDLEY",87.14,51,0.31,0.14,0.19,12.22,1.3,9.78,0,0,5,11,141,0,0.05,0.035,0.039,0,15.9,0.019,0.027,0.138,0.076,0.039,2,0,2,2,3.6,0,88,4,0,0,46,14,0,20,0.1,0,0,0.8,0,0,0,0,,,,
03041,"BABYFOOD,DINNER,VEG&DUMPLINGS&BF,STR",88.9,48,2,0.9,0.5,7.7,,0,14,0.39,6,28,46,49,0.4,0.029,,2.1,0.8,0.049,0.04,0.574,0.208,0.047,7,0,7,7,,0.09,416,21,0,,,,,,0.24,,,,,,,,28.35,1 oz,113,1 jar
03042,"BABYFOOD,DINNER,VEG&DUMPLINGS&BF,JR",88.6,48,2.1,0.8,0.6,8,,0,14,0.47,7,29,47,52,0.33,0.03,,2.1,0.8,0.039,0.036,0.49,0.214,0.048,7,0,7,7,,0.09,660,33,0,,,,,,,,,,,,,,28.35,1 oz,170,1 jar
